"","Unique_ID","Date","Time_Start","Latitude","Longitude","Type_of_observation","Common_name","Scientific_name","Family","Genus","Species"
"336",10097,"2001/03/26 00:00:00+00","1899/12/30 07:40:00+00",-37.6665,144.832,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"337",10096,"2001/03/26 00:00:00+00","1899/12/30 07:40:00+00",-37.6571,144.819,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"409",10173,"2001/06/11 00:00:00+00","1899/12/30 08:00:00+00",-37.6802,144.839,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"410",10172,"2001/06/11 00:00:00+00","1899/12/30 08:00:00+00",-37.6622,144.822,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"411",10171,"2001/06/11 00:00:00+00","1899/12/30 08:00:00+00",-37.6594,144.831,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"412",10170,"2001/06/11 00:00:00+00","1899/12/30 08:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"419",10181,"2001/06/18 00:00:00+00","1899/12/30 08:00:00+00",-37.6889,144.843,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"420",10180,"2001/06/18 00:00:00+00","1899/12/30 08:00:00+00",-37.6632,144.829,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"425",10186,"2001/06/25 00:00:00+00","1899/12/30 07:50:00+00",-37.6802,144.839,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"1986",11748,"2003/04/07 00:00:00+00","1899/12/30 09:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
